id,longitude,latitude,Drugs,FoodBanks,PublicArt,CodeViolation,Prostitution
163,-122.24092766666666,47.57730300000001,0.0,0.0,0.0,0.0,0.0
164,-122.22409933333333,47.57730300000001,0.0,0.0,0.0,0.0,0.0
165,-122.459696,47.561618800000005,0.0,0.0,0.0,0.0,0.0
166,-122.44286766666666,47.561618800000005,0.0,0.0,0.0,0.0,0.0
167,-122.42603933333332,47.561618800000005,0.0,0.0,0.0,0.0,0.0
168,-122.409211,47.561618800000005,1.0,0.0,0.0,156.0,0.0
169,-122.39238266666666,47.561618800000005,63.0,0.0,1.0,562.0,1.0
170,-122.37555433333333,47.561618800000005,30.0,0.0,0.0,389.0,4.0
171,-122.35872599999999,47.561618800000005,5.0,0.0,0.0,119.0,0.0
172,-122.34189766666667,47.561618800000005,77.0,1.0,1.0,42.0,21.0
173,-122.32506933333333,47.561618800000005,41.0,0.0,0.0,292.0,5.0
174,-122.308241,47.561618800000005,32.0,1.0,0.0,459.0,3.0
175,-122.29141266666666,47.561618800000005,143.0,1.0,4.0,750.0,37.0
176,-122.27458433333334,47.561618800000005,14.0,0.0,0.0,263.0,0.0
177,-122.257756,47.561618800000005,0.0,0.0,0.0,0.0,0.0
178,-122.24092766666666,47.561618800000005,0.0,0.0,0.0,0.0,0.0
179,-122.22409933333333,47.561618800000005,0.0,0.0,0.0,0.0,0.0
180,-122.459696,47.54593460000001,0.0,0.0,0.0,0.0,0.0
181,-122.44286766666666,47.54593460000001,0.0,0.0,0.0,0.0,0.0
182,-122.42603933333332,47.54593460000001,0.0,0.0,0.0,0.0,0.0
183,-122.409211,47.54593460000001,3.0,0.0,0.0,48.0,0.0
184,-122.39238266666666,47.54593460000001,40.0,0.0,0.0,446.0,0.0
185,-122.37555433333333,47.54593460000001,76.0,0.0,5.0,330.0,2.0
186,-122.35872599999999,47.54593460000001,26.0,0.0,0.0,353.0,0.0
187,-122.34189766666667,47.54593460000001,15.0,0.0,0.0,21.0,10.0
188,-122.32506933333333,47.54593460000001,105.0,0.0,0.0,182.0,52.0
189,-122.308241,47.54593460000001,69.0,0.0,1.0,142.0,5.0
190,-122.29141266666666,47.54593460000001,76.0,0.0,0.0,465.0,8.0
191,-122.27458433333334,47.54593460000001,187.0,0.0,0.0,389.0,85.0
192,-122.257756,47.54593460000001,0.0,0.0,0.0,0.0,0.0
193,-122.24092766666666,47.54593460000001,0.0,0.0,0.0,0.0,0.0
194,-122.22409933333333,47.54593460000001,0.0,0.0,0.0,0.0,0.0
195,-122.459696,47.53025040000001,0.0,0.0,0.0,0.0,0.0
196,-122.44286766666666,47.53025040000001,0.0,0.0,0.0,0.0,0.0
197,-122.42603933333332,47.53025040000001,0.0,0.0,0.0,0.0,0.0
198,-122.409211,47.53025040000001,2.0,0.0,1.0,21.0,0.0
199,-122.39238266666666,47.53025040000001,20.0,0.0,0.0,328.0,0.0
200,-122.37555433333333,47.53025040000001,66.0,0.0,1.0,389.0,3.0
201,-122.35872599999999,47.53025040000001,69.0,2.0,0.0,490.0,15.0
202,-122.34189766666667,47.53025040000001,20.0,0.0,0.0,147.0,1.0
203,-122.32506933333333,47.53025040000001,77.0,3.0,2.0,300.0,22.0
204,-122.308241,47.53025040000001,0.0,0.0,0.0,0.0,0.0
205,-122.29141266666666,47.53025040000001,30.0,1.0,0.0,372.0,4.0
206,-122.27458433333334,47.53025040000001,176.0,0.0,0.0,659.0,27.0
207,-122.257756,47.53025040000001,2.0,0.0,0.0,26.0,0.0
208,-122.24092766666666,47.53025040000001,0.0,0.0,0.0,0.0,0.0
209,-122.22409933333333,47.53025040000001,0.0,0.0,0.0,0.0,0.0
210,-122.459696,47.51456620000001,0.0,0.0,0.0,0.0,0.0
211,-122.44286766666666,47.51456620000001,0.0,0.0,0.0,0.0,0.0
212,-122.42603933333332,47.51456620000001,0.0,0.0,0.0,0.0,0.0
213,-122.409211,47.51456620000001,0.0,0.0,0.0,21.0,0.0
214,-122.39238266666666,47.51456620000001,9.0,0.0,1.0,231.0,0.0
215,-122.37555433333333,47.51456620000001,3.0,0.0,0.0,60.0,0.0
216,-122.35872599999999,47.51456620000001,6.0,0.0,0.0,0.0,1.0
217,-122.34189766666667,47.51456620000001,1.0,0.0,0.0,0.0,0.0
218,-122.32506933333333,47.51456620000001,4.0,0.0,0.0,0.0,0.0
219,-122.308241,47.51456620000001,6.0,0.0,0.0,0.0,0.0
220,-122.29141266666666,47.51456620000001,8.0,0.0,0.0,7.0,0.0
221,-122.27458433333334,47.51456620000001,26.0,0.0,0.0,347.0,2.0
222,-122.257756,47.51456620000001,20.0,1.0,0.0,310.0,1.0
223,-122.24092766666666,47.51456620000001,4.0,1.0,0.0,12.0,0.0
224,-122.22409933333333,47.51456620000001,0.0,0.0,0.0,0.0,0.0
